Date,Close,Ticker
May-14-2018,1600.34,Russell 2000
May-15-2018,1600.34,Russell 2000
May-16-2018,1616.37,Russell 2000
May-17-2018,1625.29,Russell 2000
May-18-2018,1626.63,Russell 2000
May-21-2018,1637.44,Russell 2000
May-22-2018,1625.24,Russell 2000
May-23-2018,1627.61,Russell 2000
May-24-2018,1628.22,Russell 2000
May-25-2018,1626.93,Russell 2000
May-29-2018,1623.65,Russell 2000
May-30-2018,1647.99,Russell 2000
May-31-2018,1633.61,Russell 2000
Jun-01-2018,1647.98,Russell 2000
Jun-04-2018,1653.37,Russell 2000
Jun-05-2018,1664.63,Russell 2000
Jun-06-2018,1675.95,Russell 2000
Jun-07-2018,1667.78,Russell 2000
Jun-08-2018,1672.49,Russell 2000
Jun-11-2018,1674.68,Russell 2000
Jun-12-2018,1682.3,Russell 2000
Jun-13-2018,1676.54,Russell 2000
Jun-14-2018,1684.73,Russell 2000
Jun-15-2018,1683.91,Russell 2000
Jun-18-2018,1692.46,Russell 2000
Jun-19-2018,1693.45,Russell 2000
Jun-20-2018,1706.99,Russell 2000
Jun-21-2018,1688.95,Russell 2000
Jun-22-2018,1685.58,Russell 2000
Jun-25-2018,1657.51,Russell 2000
Jun-26-2018,1668.53,Russell 2000
Jun-27-2018,1640.45,Russell 2000
Jun-28-2018,1645.02,Russell 2000
Jun-29-2018,1643.07,Russell 2000
Jul-02-2018,1655.09,Russell 2000
Jul-03-2018,1660.42,Russell 2000
Jul-05-2018,1679.48,Russell 2000
Jul-06-2018,1694.05,Russell 2000
Jul-09-2018,1704.6,Russell 2000
Jul-10-2018,1695.62,Russell 2000
Jul-11-2018,1683.66,Russell 2000
Jul-12-2018,1690.28,Russell 2000
Jul-13-2018,1687.08,Russell 2000
Jul-16-2018,1678.54,Russell 2000
Jul-17-2018,1687.26,Russell 2000
Jul-18-2018,1691.87,Russell 2000
Jul-19-2018,1701.31,Russell 2000
Jul-20-2018,1696.81,Russell 2000
Jul-23-2018,1698.41,Russell 2000
Jul-24-2018,1680.2,Russell 2000
Jul-25-2018,1685.2,Russell 2000
Jul-26-2018,1695.36,Russell 2000
Jul-27-2018,1663.34,Russell 2000
Jul-30-2018,1653.13,Russell 2000
Jul-31-2018,1670.81,Russell 2000
Aug-01-2018,1669.26,Russell 2000
Aug-02-2018,1682.1,Russell 2000
Aug-03-2018,1673.37,Russell 2000
Aug-06-2018,1684.31,Russell 2000
Aug-07-2018,1688.3,Russell 2000
Aug-08-2018,1686.88,Russell 2000
Aug-09-2018,1690.89,Russell 2000
Aug-10-2018,1686.8,Russell 2000
Aug-13-2018,1675.32,Russell 2000
Aug-14-2018,1692.58,Russell 2000
Aug-15-2018,1670.67,Russell 2000
Aug-16-2018,1685.75,Russell 2000
Aug-17-2018,1692.95,Russell 2000
Aug-20-2018,1698.69,Russell 2000
Aug-21-2018,1718.05,Russell 2000
Aug-22-2018,1722.54,Russell 2000
Aug-23-2018,1717.05,Russell 2000
Aug-24-2018,1725.67,Russell 2000
Aug-27-2018,1728.41,Russell 2000
Aug-28-2018,1728.42,Russell 2000
Aug-29-2018,1734.75,Russell 2000
Aug-30-2018,1732.35,Russell 2000
Aug-31-2018,1740.75,Russell 2000
Sep-04-2018,1733.38,Russell 2000
Sep-05-2018,1727.65,Russell 2000
Sep-06-2018,1714.47,Russell 2000
Sep-07-2018,1713.18,Russell 2000
Sep-10-2018,1717.47,Russell 2000
Sep-11-2018,1718.4,Russell 2000
Sep-12-2018,1715.7,Russell 2000
Sep-13-2018,1714.32,Russell 2000
Sep-14-2018,1721.72,Russell 2000
Sep-17-2018,1703.55,Russell 2000
Sep-18-2018,1710.97,Russell 2000
Sep-19-2018,1702.93,Russell 2000
Sep-20-2018,1720.18,Russell 2000
Sep-21-2018,1712.32,Russell 2000
Sep-24-2018,1705.32,Russell 2000
Sep-25-2018,1708.81,Russell 2000
Sep-26-2018,1691.61,Russell 2000
Sep-27-2018,1690.53,Russell 2000
Sep-28-2018,1696.57,Russell 2000
Oct-01-2018,1672.99,Russell 2000
Oct-02-2018,1656.04,Russell 2000
Oct-03-2018,1671.29,Russell 2000
Oct-04-2018,1646.91,Russell 2000
Oct-05-2018,1632.11,Russell 2000
Oct-08-2018,1629.52,Russell 2000
